"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Ano x Nível de instrução x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"2022"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Sem instrução e fundamental incompleto";;;;;;;;;;;;;;;;;;"Fundamental completo e médio incompleto";;;;;;;;;;;;;;;;;;"Médio completo e superior incompleto";;;;;;;;;;;;;;;;;;"Superior completo"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais"
"Brasil";"Homens";"Branca";"408237";"108013";"300224";"8290486";"5566796";"349427";"400636";"498069";"685166";"794273";"941234";"965774";"932217";"2723690";"840625";"728021";"523836";"631209";"910267";"378888";"531378";"3672870";"3131871";"466412";"429132";"424556";"410808";"361146";"365760";"364494";"309564";"540999";"225939";"147629";"84422";"83009";"2464765";"606168";"1858597";"9007134";"8147388";"1419366";"1295576";"1289303";"1203529";"916129";"780007";"685099";"558378";"859747";"387606";"235073";"127111";"109957";"298289";"13866";"284423";"6336792";"5517390";"753431";"908181";"942254";"891134";"631927";"518752";"470434";"401278";"819402";"320740";"232799";"141095";"124768"
"Brasil";"Homens";"Preta";"212061";"54262";"157800";"3176616";"2438051";"190887";"217130";"265593";"347976";"367813";"379022";"352221";"317411";"738564";"258368";"201477";"130848";"147871";"381389";"142501";"238888";"1177979";"1090782";"207259";"181404";"174314";"155575";"120913";"103110";"84417";"63790";"87197";"42757";"23598";"11826";"9016";"605538";"123545";"481993";"2369664";"2260763";"443749";"399169";"401668";"356619";"249188";"184240";"132741";"93390";"108901";"57056";"28438";"13517";"9890";"40499";"2248";"38251";"703439";"664057";"103283";"120807";"124611";"108036";"77769";"57250";"43041";"29260";"39382";"19574";"11740";"4209";"3859"
"Brasil";"Homens";"Amarela";"2212";"517";"1695";"49094";"24098";"1885";"2218";"2204";"3533";"3480";"3393";"3296";"4088";"24997";"4332";"6006";"5716";"8943";"4562";"2123";"2438";"28763";"18768";"1768";"1810";"2445";"2429";"2509";"2576";"2725";"2506";"9995";"2424";"2696";"2079";"2796";"22060";"6115";"15945";"93036";"69767";"9515";"8466";"8954";"9650";"8097";"9105";"8226";"7754";"23269";"8048";"6359";"4406";"4456";"3783";"234";"3550";"137993";"109207";"10964";"14545";"17894";"18250";"13982";"12258";"11170";"10144";"28785";"10695";"8615";"5165";"4310"
"Brasil";"Homens";"Parda";"852452";"228050";"624402";"11805034";"9108948";"728589";"847143";"1030784";"1295437";"1355918";"1393740";"1305116";"1152221";"2696086";"952140";"731581";"485325";"527039";"1530374";"600142";"930232";"4392813";"4060193";"783921";"686627";"651395";"561277";"436535";"375175";"320716";"244547";"332620";"160168";"92227";"44791";"35433";"2687779";"623988";"2063791";"8679085";"8262540";"1691949";"1505145";"1456741";"1260257";"872142";"649185";"483451";"343669";"416545";"215898";"112898";"50524";"37224";"180260";"10756";"169504";"2752920";"2575893";"408547";"464510";"478633";"423700";"296463";"214653";"166262";"123126";"177027";"83033";"51677";"24766";"17551"
"Brasil";"Homens";"Indígena";"24204";"7628";"16576";"151199";"121772";"14513";"14475";"16207";"17100";"17396";"15757";"14272";"12051";"29427";"9782";"7527";"5091";"7027";"26100";"10357";"15742";"42411";"40322";"10471";"7796";"6653";"4956";"3677";"2941";"2172";"1657";"2088";"1027";"588";"239";"234";"30970";"6213";"24757";"75899";"73450";"19769";"15762";"13024";"9504";"6434";"4086";"2859";"2012";"2449";"1258";"581";"391";"220";"1033";"88";"945";"21100";"19489";"2427";"3495";"3704";"3127";"2515";"1730";"1366";"1125";"1612";"799";"385";"253";"174"
"Brasil";"Mulheres";"Branca";"256894";"69167";"187727";"9098730";"5229117";"220414";"278975";"385911";"579946";"736435";"922190";"1035857";"1069388";"3869613";"1032167";"949351";"748929";"1139165";"719751";"316238";"403513";"3841841";"3071018";"366549";"360143";"384340";"406298";"387793";"396888";"409045";"359961";"770823";"276928";"195766";"127846";"170282";"2721237";"706529";"2014708";"10197789";"9015980";"1457859";"1365779";"1402088";"1344348";"1066220";"919611";"802916";"657159";"1181809";"478877";"309064";"183333";"210535";"477275";"21079";"456196";"9005832";"7983381";"1123978";"1288394";"1342796";"1273831";"928057";"769510";"692146";"564670";"1022451";"421917";"292454";"163074";"145007"
"Brasil";"Mulheres";"Preta";"117902";"30367";"87535";"2794263";"1901628";"107203";"130508";"175012";"243638";"278962";"313672";"327204";"325429";"892635";"282818";"233112";"162812";"213892";"275626";"107701";"167925";"1060085";"948811";"154931";"142010";"144448";"134990";"114451";"99223";"88111";"70647";"111274";"50037";"30295";"15558";"15384";"647173";"141391";"505782";"2435349";"2301301";"439678";"403201";"404077";"354138";"258907";"192008";"144002";"105290";"134048";"67773";"35845";"16461";"13968";"62676";"3050";"59626";"1026568";"968074";"148800";"164168";"176632";"160612";"116109";"86504";"67939";"47309";"58495";"29016";"16899";"7702";"4877"
"Brasil";"Mulheres";"Amarela";"1955";"406";"1549";"67558";"27618";"2199";"2209";"2874";"3402";"3975";"4107";"4337";"4516";"39941";"5435";"8462";"8698";"17346";"5178";"2396";"2782";"31414";"18052";"1813";"2140";"2216";"2062";"2600";"2094";"2481";"2647";"13362";"2992";"3108";"3186";"4076";"23868";"6921";"16946";"100079";"74193";"10402";"8342";"9403";"9938";"9689";"9031";"8643";"8745";"25887";"8682";"6272";"5022";"5910";"5306";"89";"5217";"153364";"127692";"13492";"16978";"20183";"20054";"15842";"14683";"14211";"12248";"25672";"10366";"8308";"4630";"2368"
"Brasil";"Mulheres";"Parda";"541509";"141741";"399768";"11313436";"8063262";"486647";"617179";"810497";"1069001";"1191644";"1305239";"1342706";"1240348";"3250175";"1058964";"849500";"589902";"751809";"1252765";"498150";"754615";"4373491";"3981302";"688154";"635168";"615865";"559930";"461462";"398418";"350468";"271836";"392189";"177670";"104772";"56110";"53637";"3021765";"734469";"2287297";"9997925";"9490242";"1910339";"1745416";"1664946";"1425164";"1014052";"767130";"565785";"397409";"507683";"255326";"132912";"65262";"54183";"298981";"16873";"282109";"4310738";"4050014";"647583";"715661";"736206";"659962";"463370";"354778";"278943";"193511";"260725";"128627";"74654";"33252";"24192"
"Brasil";"Mulheres";"Indígena";"22083";"6885";"15198";"159250";"123297";"14618";"14613";"16219";"17723";"15974";"15170";"15263";"13716";"35953";"10988";"8179";"6518";"10268";"23507";"9293";"14214";"40506";"37856";"9365";"7362";"6346";"4635";"3541";"2707";"2215";"1684";"2651";"1186";"733";"336";"395";"33327";"7649";"25679";"78976";"75855";"20703";"15712";"12916";"9311";"6445";"4749";"3598";"2421";"3121";"1246";"1002";"399";"474";"1784";"101";"1683";"30189";"28265";"3917";"5130";"5342";"4814";"3397";"2366";"1988";"1312";"1924";"882";"567";"266";"208"
