"Tabela 2657 - Estimativas populacionais das medianas de altura e peso de crianças, adolescentes e adultos, por sexo e idade - Unidades da Federação"
"Variável - População (Pessoas)"
"Unidade da Federação";"Idade";"Ano x Sexo"
"Unidade da Federação";"Idade";"2002";;"2008"
"Unidade da Federação";"Idade";"Masculino";"Feminino";"Masculino";"Feminino"
"Rondônia";"18 anos";"17095";"14618";"10036";"15594"
"Rondônia";"19 anos";"14777";"12132";"12924";"14352"
"Rondônia";"20 a 24 anos";"...";"...";"76030";"67263"
"Rondônia";"25 a 29 anos";"...";"...";"64823";"63537"
"Rondônia";"30 a 34 anos";"...";"...";"60217";"64686"
"Rondônia";"35 a 44 anos";"...";"...";"106869";"104191"
"Rondônia";"45 a 54 anos";"...";"...";"73596";"61997"
"Rondônia";"55 a 64 anos";"...";"...";"45456";"44798"
"Rondônia";"65 a 74 anos";"...";"...";"27558";"29680"
"Rondônia";"75 anos ou mais";"...";"...";"16159";"11866"
"Acre";"18 anos";"6781";"6421";"7978";"6681"
"Acre";"19 anos";"6019";"4954";"5091";"6904"
"Acre";"20 a 24 anos";"...";"...";"30326";"29082"
"Acre";"25 a 29 anos";"...";"...";"32018";"31541"
"Acre";"30 a 34 anos";"...";"...";"28280";"25622"
"Acre";"35 a 44 anos";"...";"...";"40683";"43280"
"Acre";"45 a 54 anos";"...";"...";"24916";"24699"
"Acre";"55 a 64 anos";"...";"...";"17614";"17935"
"Acre";"65 a 74 anos";"...";"...";"9506";"8109"
"Acre";"75 anos ou mais";"...";"...";"5629";"3992"
"Amazonas";"18 anos";"32279";"28774";"31491";"31176"
"Amazonas";"19 anos";"27368";"28365";"37378";"27349"
"Amazonas";"20 a 24 anos";"...";"...";"169154";"169047"
"Amazonas";"25 a 29 anos";"...";"...";"142441";"150538"
"Amazonas";"30 a 34 anos";"...";"...";"117329";"137005"
"Amazonas";"35 a 44 anos";"...";"...";"202272";"205378"
"Amazonas";"45 a 54 anos";"...";"...";"151634";"154602"
"Amazonas";"55 a 64 anos";"...";"...";"98694";"99071"
"Amazonas";"65 a 74 anos";"...";"...";"46655";"47133"
"Amazonas";"75 anos ou mais";"...";"...";"23440";"28607"
"Roraima";"18 anos";"4588";"2638";"3063";"2308"
"Roraima";"19 anos";"4132";"3851";"3755";"3343"
"Roraima";"20 a 24 anos";"...";"...";"20223";"19990"
"Roraima";"25 a 29 anos";"...";"...";"19201";"18373"
"Roraima";"30 a 34 anos";"...";"...";"11222";"15471"
"Roraima";"35 a 44 anos";"...";"...";"26407";"21360"
"Roraima";"45 a 54 anos";"...";"...";"17773";"18881"
"Roraima";"55 a 64 anos";"...";"...";"8342";"9375"
"Roraima";"65 a 74 anos";"...";"...";"5192";"5376"
"Roraima";"75 anos ou mais";"...";"...";"2923";"3269"
"Pará";"18 anos";"80791";"72542";"85677";"73693"
"Pará";"19 anos";"66506";"53157";"79202";"65109"
"Pará";"20 a 24 anos";"...";"...";"345626";"361460"
"Pará";"25 a 29 anos";"...";"...";"344305";"299460"
"Pará";"30 a 34 anos";"...";"...";"275221";"275329"
"Pará";"35 a 44 anos";"...";"...";"413634";"415329"
"Pará";"45 a 54 anos";"...";"...";"340951";"370364"
"Pará";"55 a 64 anos";"...";"...";"194921";"178276"
"Pará";"65 a 74 anos";"...";"...";"120497";"106769"
"Pará";"75 anos ou mais";"...";"...";"48377";"65227"
"Amapá";"18 anos";"6270";"5473";"5752";"7733"
"Amapá";"19 anos";"7381";"4625";"7143";"5586"
"Amapá";"20 a 24 anos";"...";"...";"28126";"34751"
"Amapá";"25 a 29 anos";"...";"...";"30638";"24671"
"Amapá";"30 a 34 anos";"...";"...";"25367";"25652"
"Amapá";"35 a 44 anos";"...";"...";"35698";"40785"
"Amapá";"45 a 54 anos";"...";"...";"27444";"23769"
"Amapá";"55 a 64 anos";"...";"...";"16616";"14782"
"Amapá";"65 a 74 anos";"...";"...";"7381";"6735"
"Amapá";"75 anos ou mais";"...";"...";"4037";"5130"
"Tocantins";"18 anos";"13926";"11065";"14318";"12394"
"Tocantins";"19 anos";"14246";"9014";"12037";"9527"
"Tocantins";"20 a 24 anos";"...";"...";"51519";"51811"
"Tocantins";"25 a 29 anos";"...";"...";"59201";"53708"
"Tocantins";"30 a 34 anos";"...";"...";"49323";"54587"
"Tocantins";"35 a 44 anos";"...";"...";"80166";"86396"
"Tocantins";"45 a 54 anos";"...";"...";"56809";"62435"
"Tocantins";"55 a 64 anos";"...";"...";"41237";"38616"
"Tocantins";"65 a 74 anos";"...";"...";"29782";"29300"
"Tocantins";"75 anos ou mais";"...";"...";"17706";"11897"
"Maranhão";"18 anos";"71995";"65686";"66112";"69003"
"Maranhão";"19 anos";"77304";"63366";"57974";"61773"
"Maranhão";"20 a 24 anos";"...";"...";"295164";"270895"
"Maranhão";"25 a 29 anos";"...";"...";"287147";"293028"
"Maranhão";"30 a 34 anos";"...";"...";"232571";"232212"
"Maranhão";"35 a 44 anos";"...";"...";"323402";"382284"
"Maranhão";"45 a 54 anos";"...";"...";"268224";"272210"
"Maranhão";"55 a 64 anos";"...";"...";"166365";"207008"
"Maranhão";"65 a 74 anos";"...";"...";"140250";"135286"
"Maranhão";"75 anos ou mais";"...";"...";"51940";"81761"
