"Tabela 3193 - Pessoas de 10 anos ou mais de idade, por estado civil, segundo o estado conjugal, a situação do domicílio, o sexo, a cor ou raça e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"Ano x Estado civil x Estado conjugal x Situação do domicílio"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"2010"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"Casado(a)";;;"Divorciado(a)";;;"Solteiro(a)"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"Total";;;"Total";;;"Total"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"Total";"Urbana";"Rural";"Total";"Urbana";"Rural";"Total";"Urbana";"Rural"
"Brasil";"Homens";"Branca";"18 e 19 anos";"23713";"20119";"3594";"853";"776";"76";"1407311";"1225899";"181412"
"Brasil";"Homens";"Branca";"20 a 24 anos";"362094";"313476";"48618";"8724";"7960";"765";"3416635";"3027862";"388772"
"Brasil";"Homens";"Branca";"25 a 29 anos";"1036712";"919072";"117640";"33307";"30961";"2345";"2741559";"2444356";"297203"
"Brasil";"Homens";"Branca";"30 a 34 anos";"1526182";"1362113";"164069";"78911";"74214";"4697";"1858576";"1636961";"221615"
"Brasil";"Homens";"Branca";"35 a 39 anos";"1660610";"1467771";"192839";"120294";"113588";"6706";"1268208";"1099170";"169038"
"Brasil";"Homens";"Branca";"40 a 44 anos";"1786452";"1558516";"227936";"160709";"150740";"9969";"943300";"811234";"132066"
"Brasil";"Homens";"Branca";"45 a 49 anos";"1834584";"1598400";"236184";"194222";"181503";"12719";"675711";"581215";"94495"
"Brasil";"Homens";"Branca";"50 a 54 anos";"1681675";"1463716";"217958";"190781";"177859";"12922";"444319";"378712";"65606"
"Brasil";"Homens";"Branca";"55 a 59 anos";"1457536";"1253022";"204514";"156525";"144815";"11711";"278667";"233017";"45649"
"Brasil";"Homens";"Branca";"60 a 64 anos";"1180695";"1005395";"175301";"106758";"97961";"8797";"182380";"147756";"34624"
"Brasil";"Homens";"Branca";"65 a 69 anos";"862635";"729594";"133042";"66017";"60801";"5216";"120318";"96289";"24029"
"Brasil";"Homens";"Branca";"70 a 74 anos";"655244";"556146";"99099";"38630";"35312";"3318";"81818";"64687";"17131"
"Brasil";"Homens";"Branca";"75 a 79 anos";"422785";"361570";"61215";"19304";"17751";"1553";"50474";"40261";"10212"
"Brasil";"Homens";"Branca";"80 anos ou mais";"377557";"324572";"52985";"11398";"10538";"860";"47018";"37033";"9985"
"Brasil";"Homens";"Preta";"18 e 19 anos";"4227";"3619";"608";"179";"146";"34";"256277";"216553";"39724"
"Brasil";"Homens";"Preta";"20 a 24 anos";"66990";"58383";"8607";"1458";"1256";"202";"649955";"557784";"92171"
"Brasil";"Homens";"Preta";"25 a 29 anos";"175302";"156408";"18894";"4751";"4375";"376";"573712";"492475";"81237"
"Brasil";"Homens";"Preta";"30 a 34 anos";"242028";"216005";"26023";"10336";"9633";"704";"458778";"391296";"67482"
"Brasil";"Homens";"Preta";"35 a 39 anos";"252925";"223574";"29351";"15612";"14480";"1132";"336782";"286472";"50310"
"Brasil";"Homens";"Preta";"40 a 44 anos";"270703";"237053";"33650";"20159";"18814";"1344";"265400";"221896";"43505"
"Brasil";"Homens";"Preta";"45 a 49 anos";"259408";"224567";"34841";"23852";"22160";"1692";"195957";"162534";"33423"
"Brasil";"Homens";"Preta";"50 a 54 anos";"235924";"200968";"34957";"24134";"22318";"1816";"134303";"109821";"24481"
"Brasil";"Homens";"Preta";"55 a 59 anos";"197664";"165842";"31823";"18410";"16838";"1572";"87539";"68840";"18699"
"Brasil";"Homens";"Preta";"60 a 64 anos";"151678";"124271";"27407";"12153";"11000";"1153";"57001";"43127";"13874"
"Brasil";"Homens";"Preta";"65 a 69 anos";"108085";"86876";"21209";"7682";"6839";"843";"39007";"28669";"10338"
"Brasil";"Homens";"Preta";"70 a 74 anos";"77493";"62513";"14979";"4202";"3769";"434";"26275";"19410";"6864"
"Brasil";"Homens";"Preta";"75 a 79 anos";"46148";"37210";"8939";"2265";"2009";"255";"15307";"11262";"4045"
"Brasil";"Homens";"Preta";"80 anos ou mais";"39982";"31893";"8089";"1320";"1124";"196";"15949";"11513";"4436"
"Brasil";"Homens";"Amarela";"18 e 19 anos";"771";"630";"141";"33";"33";"-";"30420";"25929";"4490"
"Brasil";"Homens";"Amarela";"20 a 24 anos";"9846";"8365";"1481";"157";"129";"28";"79426";"69242";"10184"
"Brasil";"Homens";"Amarela";"25 a 29 anos";"23755";"21059";"2696";"685";"613";"72";"63237";"55028";"8208"
"Brasil";"Homens";"Amarela";"30 a 34 anos";"33106";"29536";"3570";"1473";"1346";"127";"45785";"39371";"6414"
"Brasil";"Homens";"Amarela";"35 a 39 anos";"34522";"30524";"3997";"2242";"2105";"136";"29482";"24946";"4537"
"Brasil";"Homens";"Amarela";"40 a 44 anos";"36232";"31841";"4391";"2969";"2753";"216";"21267";"17684";"3583"
"Brasil";"Homens";"Amarela";"45 a 49 anos";"36477";"31924";"4553";"2562";"2353";"209";"15485";"12729";"2755"
"Brasil";"Homens";"Amarela";"50 a 54 anos";"34094";"30055";"4039";"2791";"2577";"214";"10556";"8538";"2019"
"Brasil";"Homens";"Amarela";"55 a 59 anos";"31962";"27936";"4025";"2561";"2300";"261";"7085";"5655";"1430"
"Brasil";"Homens";"Amarela";"60 a 64 anos";"29588";"25563";"4024";"1935";"1751";"183";"5869";"4772";"1097"
"Brasil";"Homens";"Amarela";"65 a 69 anos";"23481";"20285";"3196";"1151";"1029";"122";"3637";"2913";"724"
"Brasil";"Homens";"Amarela";"70 a 74 anos";"19961";"17323";"2639";"755";"699";"56";"2404";"1880";"524"
"Brasil";"Homens";"Amarela";"75 a 79 anos";"12198";"10564";"1633";"355";"341";"14";"1223";"906";"317"
"Brasil";"Homens";"Amarela";"80 anos ou mais";"9796";"8328";"1468";"172";"155";"18";"1255";"968";"288"
"Brasil";"Homens";"Parda";"18 e 19 anos";"27542";"21599";"5943";"786";"667";"119";"1559956";"1230717";"329239"
"Brasil";"Homens";"Parda";"20 a 24 anos";"365201";"300372";"64829";"7976";"6963";"1013";"3593135";"2891979";"701156"
"Brasil";"Homens";"Parda";"25 a 29 anos";"865212";"724357";"140855";"24871";"22555";"2316";"2816353";"2280272";"536081"
"Brasil";"Homens";"Parda";"30 a 34 anos";"1186516";"993725";"192791";"53630";"49549";"4081";"2082008";"1671569";"410439"
"Brasil";"Homens";"Parda";"35 a 39 anos";"1280491";"1065062";"215429";"75951";"69762";"6189";"1513607";"1204558";"309048"
"Brasil";"Homens";"Parda";"40 a 44 anos";"1338410";"1097837";"240573";"100122";"91239";"8883";"1145046";"904595";"240451"
"Brasil";"Homens";"Parda";"45 a 49 anos";"1277544";"1036380";"241164";"112921";"102749";"10172";"794527";"622486";"172041"
"Brasil";"Homens";"Parda";"50 a 54 anos";"1127971";"906942";"221029";"110298";"99460";"10838";"529367";"409924";"119443"
"Brasil";"Homens";"Parda";"55 a 59 anos";"959534";"753034";"206499";"85386";"75998";"9388";"333553";"247188";"86364"
"Brasil";"Homens";"Parda";"60 a 64 anos";"747234";"574120";"173114";"58345";"51211";"7135";"217816";"154717";"63099"
"Brasil";"Homens";"Parda";"65 a 69 anos";"543015";"411415";"131600";"36354";"31767";"4587";"149392";"101907";"47486"
"Brasil";"Homens";"Parda";"70 a 74 anos";"390395";"297159";"93236";"21533";"18770";"2762";"97582";"66603";"30979"
"Brasil";"Homens";"Parda";"75 a 79 anos";"226093";"173018";"53075";"10513";"9306";"1208";"57209";"38598";"18611"
"Brasil";"Homens";"Parda";"80 anos ou mais";"197293";"148371";"48921";"6180";"5394";"786";"55995";"36530";"19465"
"Brasil";"Homens";"Indígena";"18 e 19 anos";"705";"90";"615";"14";"-";"14";"15337";"5310";"10027"
"Brasil";"Homens";"Indígena";"20 a 24 anos";"4410";"1383";"3027";"42";"27";"15";"32680";"13060";"19620"
"Brasil";"Homens";"Indígena";"25 a 29 anos";"6757";"3051";"3706";"159";"73";"86";"25472";"10695";"14777"
"Brasil";"Homens";"Indígena";"30 a 34 anos";"8880";"4393";"4487";"248";"200";"49";"19074";"8242";"10832"
"Brasil";"Homens";"Indígena";"35 a 39 anos";"9312";"4736";"4577";"501";"384";"117";"14768";"6394";"8373"
"Brasil";"Homens";"Indígena";"40 a 44 anos";"8623";"4806";"3816";"479";"410";"70";"10688";"4641";"6047"
"Brasil";"Homens";"Indígena";"45 a 49 anos";"8249";"4913";"3336";"720";"623";"96";"7974";"3674";"4300"
"Brasil";"Homens";"Indígena";"50 a 54 anos";"7450";"4890";"2561";"666";"591";"74";"5926";"2618";"3308"
"Brasil";"Homens";"Indígena";"55 a 59 anos";"6457";"4300";"2156";"711";"599";"112";"4236";"1635";"2601"
"Brasil";"Homens";"Indígena";"60 a 64 anos";"5092";"3127";"1965";"388";"369";"19";"3166";"1125";"2041"
"Brasil";"Homens";"Indígena";"65 a 69 anos";"3712";"2305";"1407";"216";"159";"57";"2549";"753";"1796"
"Brasil";"Homens";"Indígena";"70 a 74 anos";"3047";"1745";"1301";"191";"183";"8";"1685";"445";"1240"
"Brasil";"Homens";"Indígena";"75 a 79 anos";"1650";"949";"701";"66";"26";"41";"1056";"297";"759"
"Brasil";"Homens";"Indígena";"80 anos ou mais";"1637";"767";"871";"45";"18";"27";"1437";"251";"1186"
"Brasil";"Homens";"Sem declaração";"18 e 19 anos";"-";"-";"-";"-";"-";"-";"485";"335";"150"
"Brasil";"Homens";"Sem declaração";"20 a 24 anos";"68";"49";"19";"34";"34";"-";"3303";"1850";"1452"
"Brasil";"Homens";"Sem declaração";"25 a 29 anos";"391";"245";"146";"26";"21";"5";"3831";"2285";"1546"
"Brasil";"Homens";"Sem declaração";"30 a 34 anos";"407";"299";"109";"30";"30";"-";"2458";"1744";"714"
"Brasil";"Homens";"Sem declaração";"35 a 39 anos";"488";"395";"93";"28";"28";"-";"1203";"770";"433"
"Brasil";"Homens";"Sem declaração";"40 a 44 anos";"466";"442";"24";"50";"17";"33";"989";"712";"277"
