"Tabela 4173 - Pessoas de 18 anos ou mais de idade fumantes atuais de tabaco, por sexo e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade fumantes atuais de tabaco (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Masculino";"Feminino"
"Brasil";"Total";"15,9";"9,6"
"Brasil";"Urbana";"15,6";"9,8"
"Brasil";"Rural";"17,9";"8,9"
"Norte";"Total";"15,2";"6,1"
"Norte";"Urbana";"-";"-"
"Norte";"Rural";"-";"-"
"Nordeste";"Total";"14,2";"7,7"
"Nordeste";"Urbana";"-";"-"
"Nordeste";"Rural";"-";"-"
"Sudeste";"Total";"16,6";"10,4"
"Sudeste";"Urbana";"-";"-"
"Sudeste";"Rural";"-";"-"
"Sul";"Total";"17,0";"12,5"
"Sul";"Urbana";"-";"-"
"Sul";"Rural";"-";"-"
"Centro-Oeste";"Total";"16,5";"10,0"
"Centro-Oeste";"Urbana";"-";"-"
"Centro-Oeste";"Rural";"-";"-"
"Rondônia";"Total";"15,8";"5,2"
"Rondônia";"Urbana";"-";"-"
"Rondônia";"Rural";"-";"-"
"Acre";"Total";"17,0";"10,9"
"Acre";"Urbana";"-";"-"
"Acre";"Rural";"-";"-"
"Amazonas";"Total";"15,9";"4,7"
"Amazonas";"Urbana";"-";"-"
"Amazonas";"Rural";"-";"-"
"Roraima";"Total";"16,2";"6,8"
"Roraima";"Urbana";"-";"-"
"Roraima";"Rural";"-";"-"
"Pará";"Total";"14,1";"5,9"
"Pará";"Urbana";"-";"-"
"Pará";"Rural";"-";"-"
"Amapá";"Total";"15,0";"7,0"
"Amapá";"Urbana";"-";"-"
"Amapá";"Rural";"-";"-"
"Tocantins";"Total";"17,4";"7,9"
"Tocantins";"Urbana";"-";"-"
"Tocantins";"Rural";"-";"-"
"Maranhão";"Total";"15,7";"6,8"
"Maranhão";"Urbana";"-";"-"
"Maranhão";"Rural";"-";"-"
"Piauí";"Total";"15,2";"7,2"
"Piauí";"Urbana";"-";"-"
"Piauí";"Rural";"-";"-"
"Ceará";"Total";"14,5";"9,0"
"Ceará";"Urbana";"-";"-"
"Ceará";"Rural";"-";"-"
"Rio Grande do Norte";"Total";"15,1";"7,4"
"Rio Grande do Norte";"Urbana";"-";"-"
"Rio Grande do Norte";"Rural";"-";"-"
"Paraíba";"Total";"14,3";"9,4"
"Paraíba";"Urbana";"-";"-"
"Paraíba";"Rural";"-";"-"
"Pernambuco";"Total";"14,7";"8,5"
"Pernambuco";"Urbana";"-";"-"
"Pernambuco";"Rural";"-";"-"
"Alagoas";"Total";"13,8";"7,9"
"Alagoas";"Urbana";"-";"-"
"Alagoas";"Rural";"-";"-"
"Sergipe";"Total";"11,4";"7,3"
"Sergipe";"Urbana";"-";"-"
"Sergipe";"Rural";"-";"-"
"Bahia";"Total";"13,3";"6,6"
"Bahia";"Urbana";"-";"-"
"Bahia";"Rural";"-";"-"
"Minas Gerais";"Total";"16,4";"9,4"
"Minas Gerais";"Urbana";"-";"-"
"Minas Gerais";"Rural";"-";"-"
"Espírito Santo";"Total";"13,9";"6,9"
"Espírito Santo";"Urbana";"-";"-"
"Espírito Santo";"Rural";"-";"-"
"Rio de Janeiro";"Total";"14,6";"9,9"
"Rio de Janeiro";"Urbana";"-";"-"
"Rio de Janeiro";"Rural";"-";"-"
"São Paulo";"Total";"17,6";"11,4"
"São Paulo";"Urbana";"-";"-"
"São Paulo";"Rural";"-";"-"
"Paraná";"Total";"17,2";"12,2"
"Paraná";"Urbana";"-";"-"
"Paraná";"Rural";"-";"-"
"Santa Catarina";"Total";"15,6";"10,6"
"Santa Catarina";"Urbana";"-";"-"
"Santa Catarina";"Rural";"-";"-"
"Rio Grande do Sul";"Total";"17,8";"14,0"
"Rio Grande do Sul";"Urbana";"-";"-"
"Rio Grande do Sul";"Rural";"-";"-"
"Mato Grosso do Sul";"Total";"18,0";"12,2"
"Mato Grosso do Sul";"Urbana";"-";"-"
"Mato Grosso do Sul";"Rural";"-";"-"
"Mato Grosso";"Total";"16,0";"9,9"
"Mato Grosso";"Urbana";"-";"-"
"Mato Grosso";"Rural";"-";"-"
"Goiás";"Total";"17,3";"9,9"
"Goiás";"Urbana";"-";"-"
"Goiás";"Rural";"-";"-"
"Distrito Federal";"Total";"14,0";"8,5"
"Distrito Federal";"Urbana";"-";"-"
"Distrito Federal";"Rural";"-";"-"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 4173 - Pessoas de 18 anos ou mais de idade fumantes atuais de tabaco, por sexo e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade fumantes atuais de tabaco, considerando um intervalo de confiança de 95% - limite inferior (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Masculino";"Feminino"
