"Tabela 4179 - Pessoas de 18 anos ou mais de idade fumantes atuais de tabaco, por grupo de idade e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade fumantes atuais de tabaco (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"18 a 24 anos";"25 a 39 anos";"40 a 59 anos";"60 anos ou mais"
"Brasil";"Total";"10,6";"11,8";"14,7";"11,4"
"Brasil";"Urbana";"11,0";"11,9";"14,3";"10,9"
"Brasil";"Rural";"8,8";"11,2";"17,1";"14,8"
"Norte";"Total";"7,8";"10,9";"12,0";"9,3"
"Norte";"Urbana";"-";"-";"-";"-"
"Norte";"Rural";"-";"-";"-";"-"
"Nordeste";"Total";"7,4";"8,8";"13,2";"12,0"
"Nordeste";"Urbana";"-";"-";"-";"-"
"Nordeste";"Rural";"-";"-";"-";"-"
"Sudeste";"Total";"12,8";"12,6";"15,4";"11,2"
"Sudeste";"Urbana";"-";"-";"-";"-"
"Sudeste";"Rural";"-";"-";"-";"-"
"Sul";"Total";"12,5";"15,2";"16,5";"12,3"
"Sul";"Urbana";"-";"-";"-";"-"
"Sul";"Rural";"-";"-";"-";"-"
"Centro-Oeste";"Total";"11,8";"13,0";"14,8";"10,9"
"Centro-Oeste";"Urbana";"-";"-";"-";"-"
"Centro-Oeste";"Rural";"-";"-";"-";"-"
"Rondônia";"Total";"12,0";"10,1";"11,3";"7,5"
"Rondônia";"Urbana";"-";"-";"-";"-"
"Rondônia";"Rural";"-";"-";"-";"-"
"Acre";"Total";"13,1";"10,6";"16,7";"15,7"
"Acre";"Urbana";"-";"-";"-";"-"
"Acre";"Rural";"-";"-";"-";"-"
"Amazonas";"Total";"7,4";"11,9";"11,1";"7,9"
"Amazonas";"Urbana";"-";"-";"-";"-"
"Amazonas";"Rural";"-";"-";"-";"-"
"Roraima";"Total";"9,1";"12,8";"12,8";"7,9"
