"Tabela 4400 - Pessoas de 18 anos ou mais de idade que costumam consumir bebida alcoólica uma vez ou mais por semana, por sexo e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade que costumam consumir bebida alcoólica uma vez ou mais por semana (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Masculino";"Feminino"
"Brasil";"Total";"37,1";"17,0"
"Brasil";"Urbana";"38,6";"18,0"
"Brasil";"Rural";"29,1";"9,1"
"Norte";"Total";"25,6";"9,3"
"Norte";"Urbana";"-";"-"
"Norte";"Rural";"-";"-"
"Nordeste";"Total";"30,7";"12,0"
"Nordeste";"Urbana";"-";"-"
"Nordeste";"Rural";"-";"-"
"Sudeste";"Total";"40,6";"20,2"
"Sudeste";"Urbana";"-";"-"
"Sudeste";"Rural";"-";"-"
"Sul";"Total";"44,3";"19,4"
"Sul";"Urbana";"-";"-"
"Sul";"Rural";"-";"-"
"Centro-Oeste";"Total";"36,9";"18,6"
"Centro-Oeste";"Urbana";"-";"-"
"Centro-Oeste";"Rural";"-";"-"
"Rondônia";"Total";"26,8";"10,5"
"Rondônia";"Urbana";"-";"-"
"Rondônia";"Rural";"-";"-"
"Acre";"Total";"16,4";"9,4"
"Acre";"Urbana";"-";"-"
"Acre";"Rural";"-";"-"
"Amazonas";"Total";"21,5";"7,8"
"Amazonas";"Urbana";"-";"-"
"Amazonas";"Rural";"-";"-"
"Roraima";"Total";"32,0";"9,8"
"Roraima";"Urbana";"-";"-"
"Roraima";"Rural";"-";"-"
"Pará";"Total";"26,4";"8,9"
"Pará";"Urbana";"-";"-"
"Pará";"Rural";"-";"-"
"Amapá";"Total";"28,8";"12,9"
"Amapá";"Urbana";"-";"-"
"Amapá";"Rural";"-";"-"
"Tocantins";"Total";"31,1";"12,1"
"Tocantins";"Urbana";"-";"-"
"Tocantins";"Rural";"-";"-"
"Maranhão";"Total";"25,8";"9,3"
"Maranhão";"Urbana";"-";"-"
"Maranhão";"Rural";"-";"-"
"Piauí";"Total";"33,6";"12,0"
"Piauí";"Urbana";"-";"-"
"Piauí";"Rural";"-";"-"
"Ceará";"Total";"24,5";"8,8"
"Ceará";"Urbana";"-";"-"
