"Tabela 4401 - Pessoas de 18 anos ou mais de idade que costumam consumir bebida alcoólica uma vez ou mais por semana, por grupo de idade e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade que costumam consumir bebida alcoólica uma vez ou mais por semana (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"18 a 24 anos";"25 a 39 anos";"40 a 59 anos";"60 anos ou mais"
"Brasil";"Total";"30,4";"31,5";"26,4";"17,0"
"Norte";"Total";"18,1";"21,7";"16,9";"7,8"
"Nordeste";"Total";"24,5";"26,3";"20,8";"9,8"
"Sudeste";"Total";"34,4";"34,8";"29,5";"21,2"
"Sul";"Total";"40,0";"35,9";"31,5";"20,4"
"Centro-Oeste";"Total";"30,3";"34,9";"25,7";"15,1"
"Rondônia";"Total";"20,4";"22,4";"18,8";"8,0"
"Acre";"Total";"16,0";"15,2";"12,7";"3,6"
"Amazonas";"Total";"12,7";"18,1";"15,3";"6,8"
"Roraima";"Total";"22,1";"25,8";"18,8";"10,3"
"Pará";"Total";"18,5";"22,0";"16,6";"8,4"
"Amapá";"Total";"18,7";"27,1";"19,5";"10,6"
"Tocantins";"Total";"29,2";"28,3";"20,7";"6,8"
"Maranhão";"Total";"21,6";"22,7";"16,2";"4,4"
"Piauí";"Total";"27,6";"30,6";"23,3";"5,9"
"Ceará";"Total";"13,8";"20,2";"18,4";"8,5"
"Rio Grande do Norte";"Total";"20,1";"23,6";"21,0";"13,1"
"Paraíba";"Total";"22,1";"21,4";"19,9";"9,8"
"Pernambuco";"Total";"20,7";"25,5";"18,3";"10,4"
"Alagoas";"Total";"16,8";"19,8";"16,8";"8,0"
"Sergipe";"Total";"26,0";"32,3";"27,8";"14,8"
"Bahia";"Total";"38,0";"33,7";"25,1";"12,0"
"Minas Gerais";"Total";"31,0";"36,8";"31,6";"20,4"
"Espírito Santo";"Total";"33,2";"32,1";"27,2";"13,4"
"Rio de Janeiro";"Total";"28,6";"32,3";"27,4";"17,8"
"São Paulo";"Total";"38,3";"35,0";"29,6";"23,8"
"Paraná";"Total";"37,4";"32,6";"28,7";"16,7"
"Santa Catarina";"Total";"38,6";"36,0";"31,9";"19,2"
"Rio Grande do Sul";"Total";"44,1";"39,2";"34,0";"24,0"
"Mato Grosso do Sul";"Total";"32,8";"40,1";"31,7";"16,8"
"Mato Grosso";"Total";"30,4";"39,8";"24,3";"12,4"
"Goiás";"Total";"31,9";"31,8";"24,1";"15,1"
"Distrito Federal";"Total";"25,2";"31,9";"26,1";"16,3"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 4401 - Pessoas de 18 anos ou mais de idade que costumam consumir bebida alcoólica uma vez ou mais por semana, por grupo de idade e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade que costumam consumir bebida alcoólica uma vez ou mais por semana, considerando um intervalo de confiança de 95% - limite inferior (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"18 a 24 anos";"25 a 39 anos";"40 a 59 anos";"60 anos ou mais"
"Brasil";"Total";"28,7";"30,4";"25,5";"16,1"
"Norte";"Total";"15,7";"20,0";"15,6";"6,6"
"Nordeste";"Total";"22,2";"25,0";"19,8";"8,9"
"Sudeste";"Total";"31,0";"32,5";"27,8";"19,6"
"Sul";"Total";"35,8";"33,6";"29,5";"18,7"
"Centro-Oeste";"Total";"26,4";"32,8";"23,8";"13,4"
"Rondônia";"Total";"14,4";"18,3";"15,6";"5,4"
"Acre";"Total";"11,2";"12,6";"10,5";"2,3"
"Amazonas";"Total";"9,5";"15,6";"13,0";"4,8"
"Roraima";"Total";"16,5";"22,3";"15,8";"7,1"
"Pará";"Total";"14,2";"18,8";"14,2";"6,4"
"Amapá";"Total";"13,0";"22,7";"15,4";"6,6"
"Tocantins";"Total";"22,2";"24,1";"17,3";"4,6"
"Maranhão";"Total";"17,8";"20,3";"14,1";"3,3"
"Piauí";"Total";"20,4";"26,4";"19,9";"3,9"
"Ceará";"Total";"10,2";"17,6";"16,1";"6,5"
"Rio Grande do Norte";"Total";"14,7";"20,1";"18,1";"10,2"
"Paraíba";"Total";"16,9";"18,4";"17,2";"7,4"
"Pernambuco";"Total";"16,3";"22,3";"16,1";"8,6"
"Alagoas";"Total";"12,1";"16,6";"13,9";"5,9"
"Sergipe";"Total";"19,4";"29,1";"24,6";"11,9"
"Bahia";"Total";"30,9";"30,1";"22,5";"9,8"
"Minas Gerais";"Total";"24,0";"33,2";"28,8";"17,3"
"Espírito Santo";"Total";"26,0";"28,2";"24,3";"11,2"
"Rio de Janeiro";"Total";"23,6";"29,6";"24,9";"15,8"
"São Paulo";"Total";"32,9";"31,3";"26,8";"21,0"
"Paraná";"Total";"30,7";"28,6";"25,7";"14,1"
"Santa Catarina";"Total";"31,9";"32,5";"29,2";"16,8"
"Rio Grande do Sul";"Total";"37,0";"35,3";"30,3";"21,0"
"Mato Grosso do Sul";"Total";"26,5";"36,6";"28,1";"13,9"
"Mato Grosso";"Total";"23,1";"35,0";"20,6";"9,4"
"Goiás";"Total";"24,7";"28,3";"20,8";"12,2"
"Distrito Federal";"Total";"19,3";"27,8";"22,3";"12,8"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 4401 - Pessoas de 18 anos ou mais de idade que costumam consumir bebida alcoólica uma vez ou mais por semana, por grupo de idade e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade que costumam consumir bebida alcoólica uma vez ou mais por semana, considerando um intervalo de confiança de 95% - limite superior (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"18 a 24 anos";"25 a 39 anos";"40 a 59 anos";"60 anos ou mais"
"Brasil";"Total";"32,1";"32,6";"27,3";"17,9"
"Norte";"Total";"20,8";"23,6";"18,4";"9,2"
"Nordeste";"Total";"26,9";"27,6";"21,9";"10,7"
"Sudeste";"Total";"38,1";"37,1";"31,3";"23,0"
"Sul";"Total";"44,2";"38,3";"33,5";"22,1"
"Centro-Oeste";"Total";"34,5";"37,1";"27,7";"17,0"
"Rondônia";"Total";"28,0";"27,0";"22,4";"11,7"
"Acre";"Total";"22,3";"18,2";"15,3";"5,7"
"Amazonas";"Total";"16,8";"20,9";"18,0";"9,7"
"Roraima";"Total";"29,0";"29,6";"22,3";"14,6"
"Pará";"Total";"23,6";"25,5";"19,2";"10,9"
"Amapá";"Total";"26,0";"32,1";"24,3";"16,5"
"Tocantins";"Total";"37,3";"33,0";"24,6";"10,0"
"Maranhão";"Total";"26,1";"25,3";"18,6";"6,0"
"Piauí";"Total";"36,2";"35,3";"27,0";"8,7"
"Ceará";"Total";"18,4";"23,1";"20,9";"11,1"
"Rio Grande do Norte";"Total";"26,9";"27,4";"24,4";"16,6"
"Paraíba";"Total";"28,3";"24,8";"23,0";"12,9"
"Pernambuco";"Total";"25,9";"28,8";"20,7";"12,5"
"Alagoas";"Total";"22,9";"23,4";"20,2";"10,8"
"Sergipe";"Total";"33,8";"35,7";"31,3";"18,3"
"Bahia";"Total";"45,7";"37,6";"28,0";"14,6"
"Minas Gerais";"Total";"39,0";"40,7";"34,6";"23,8"
"Espírito Santo";"Total";"41,2";"36,2";"30,3";"16,0"
"Rio de Janeiro";"Total";"34,2";"35,1";"30,0";"20,2"
"São Paulo";"Total";"44,0";"38,9";"32,5";"26,8"
"Paraná";"Total";"44,5";"36,9";"31,9";"19,6"
"Santa Catarina";"Total";"45,7";"39,7";"34,8";"22,0"
"Rio Grande do Sul";"Total";"51,4";"43,2";"37,8";"27,3"
"Mato Grosso do Sul";"Total";"39,8";"43,8";"35,4";"20,1"
"Mato Grosso";"Total";"38,7";"44,9";"28,4";"16,3"
"Goiás";"Total";"40,1";"35,6";"27,6";"18,5"
