"Tabela 7536 - Limites superiores das classes de percentual das pessoas em ordem crescente de rendimento habitualmente recebido, a preços médios do ano"
"Variável - Limites superiores das classes de percentual das pessoas em ordem crescente de rendimento habitualmente recebido, a preços médios do ano (Reais)"
"Brasil, Grande Região e Unidade da Federação";"Ano x Classes de percentual em ordem crescente de rendimento habitualmente recebido"
"Brasil, Grande Região e Unidade da Federação";"2024"
"Brasil, Grande Região e Unidade da Federação";"P5";"P10";"P20";"P30";"P40";"P50";"P60";"P70";"P80";"P90";"P95";"P99"
"Brasil";"451";"753";"1391";"1432";"1624";"1991";"2461";"2987";"3987";"6035";"9956";"20337"
"Norte";"303";"501";"883";"1388";"1415";"1500";"1957";"2367";"2997";"4931";"7018";"15191"
"Nordeste";"227";"395";"695";"1016";"1395";"1415";"1495";"1972";"2741";"4295";"6890";"16757"
"Sudeste";"687";"1098";"1420";"1574";"1963";"2130";"2715";"3056";"4404";"6986";"10167";"24568"
"Sul";"795";"1315";"1505";"1825";"2007";"2470";"2955";"3472";"4726";"6967";"10029";"22079"
"Centro-Oeste";"699";"1218";"1421";"1573";"1962";"2236";"2817";"3296";"4773";"7101";"10164";"22957"
"Rondônia";"597";"982";"1410";"1494";"1762";"2000";"2465";"2966";"3988";"5497";"7996";"17213"
"Acre";"483";"606";"1011";"1402";"1431";"1517";"1947";"2450";"3041";"5019";"7919";"14966"
"Amazonas";"303";"501";"806";"1383";"1413";"1499";"1898";"2125";"2939";"4467";"6203";"12385"
"Roraima";"402";"606";"1152";"1404";"1422";"1558";"1985";"2507";"3444";"5904";"9112";"18193"
"Pará";"288";"404";"720";"1008";"1404";"1428";"1597";"2003";"2830";"4301";"6900";"15741"
"Amapá";"499";"714";"1110";"1392";"1415";"1518";"2005";"2790";"3503";"5326";"8075";"15021"
"Tocantins";"400";"672";"1333";"1410";"1432";"1796";"2100";"2806";"3481";"5283";"7972";"16735"
"Maranhão";"201";"304";"598";"981";"1380";"1407";"1440";"1854";"2502";"3971";"5819";"11961"
"Piauí";"200";"345";"591";"874";"1386";"1407";"1433";"1828";"2595";"4368";"6434";"19359"
"Ceará";"201";"330";"603";"978";"1385";"1419";"1439";"1951";"2514";"4019";"6007";"14948"
"Rio Grande do Norte";"297";"494";"812";"1384";"1407";"1433";"1577";"2007";"2995";"5077";"9064";"19946"
"Paraíba";"203";"397";"686";"1099";"1403";"1415";"1494";"1957";"2709";"4885";"7094";"17846"
"Pernambuco";"242";"398";"698";"1190";"1405";"1417";"1521";"1994";"2837";"4853";"7078";"19856"
"Alagoas";"298";"493";"808";"1382";"1406";"1415";"1494";"1955";"2528";"4480";"7015";"19248"
"Sergipe";"249";"399";"703";"1007";"1398";"1408";"1582";"1994";"2793";"4944";"7741";"17932"
"Bahia";"240";"397";"698";"1014";"1391";"1413";"1491";"1968";"2538";"3992";"6088";"14973"
"Minas Gerais";"583";"979";"1404";"1438";"1605";"1984";"2311";"2901";"3591";"5186";"8142";"17870"
"Espírito Santo";"603";"983";"1407";"1471";"1672";"1988";"2456";"2955";"3963";"5993";"9844";"20303"
"Rio de Janeiro";"594";"986";"1408";"1470";"1701";"2021";"2550";"3037";"4895";"7980";"12791";"25224"
"São Paulo";"799";"1293";"1506";"1792";"2005";"2451";"2938";"3490";"4890";"7406";"11592";"26171"
"Paraná";"792";"1213";"1502";"1795";"2007";"2455";"2944";"3466";"4786";"7012";"10065";"24314"
"Santa Catarina";"999";"1415";"1721";"1985";"2167";"2517";"2971";"3485";"4775";"6806";"9952";"19953"
"Rio Grande do Sul";"693";"1116";"1482";"1723";"1989";"2351";"2805";"3452";"4569";"6956";"10005";"22925"
"Mato Grosso do Sul";"613";"1201";"1432";"1605";"1962";"2331";"2866";"3271";"4404";"6510";"10038";"19707"
"Mato Grosso";"768";"1340";"1466";"1764";"2011";"2475";"2935";"3495";"4790";"6980";"9825";"19628"
"Goiás";"683";"1195";"1420";"1501";"1811";"2029";"2498";"2996";"3994";"5975";"9792";"19811"
