"Tabela 8476 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e situação do domicílio"
"Variável - Pessoas de 18 anos ou mais de idade com excesso de peso (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2013"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Homens";"Mulheres"
"Brasil";"Total";"38067,072";"43972,330"
"Norte";"Total";"2853,376";"2877,808"
"Nordeste";"Total";"9188,257";"11181,184"
"Sudeste";"Total";"16923,829";"20126,345"
"Sul";"Total";"6154,834";"6645,272"
"Centro-Oeste";"Total";"2946,776";"3141,721"
"Rondônia";"Total";"291,161";"303,023"
"Acre";"Total";"117,002";"135,728"
"Amazonas";"Total";"642,123";"660,505"
"Roraima";"Total";"76,304";"72,866"
"Pará";"Total";"1338,001";"1312,942"
"Amapá";"Total";"121,926";"131,043"
"Tocantins";"Total";"266,860";"261,702"
"Maranhão";"Total";"869,182";"1185,093"
"Piauí";"Total";"475,410";"586,237"
"Ceará";"Total";"1649,885";"1858,642"
"Rio Grande do Norte";"Total";"612,137";"755,838"
"Paraíba";"Total";"639,215";"814,545"
"Pernambuco";"Total";"1599,092";"2009,641"
"Alagoas";"Total";"531,324";"678,914"
"Sergipe";"Total";"385,115";"474,552"
"Bahia";"Total";"2426,896";"2817,721"
"Minas Gerais";"Total";"3726,340";"4405,175"
"Espírito Santo";"Total";"653,314";"768,944"
"Rio de Janeiro";"Total";"3538,959";"4183,507"
"São Paulo";"Total";"9005,216";"10768,719"
"Paraná";"Total";"2164,593";"2372,748"
"Santa Catarina";"Total";"1464,361";"1540,096"
"Rio Grande do Sul";"Total";"2525,880";"2732,428"
"Mato Grosso do Sul";"Total";"494,697";"560,207"
"Mato Grosso";"Total";"686,928";"679,150"
"Goiás";"Total";"1246,848";"1314,718"
"Distrito Federal";"Total";"518,303";"587,646"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8476 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e situação do domicílio"
"Variável - Pessoas de 18 anos ou mais de idade com excesso de peso, considerando um intervalo de confiança de 95% - limite inferior (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2013"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Homens";"Mulheres"
"Brasil";"Total";"37320,871";"43249,438"
"Norte";"Total";"2720,132";"2770,711"
"Nordeste";"Total";"8849,576";"10858,989"
"Sudeste";"Total";"16324,437";"19557,194"
"Sul";"Total";"5925,346";"6372,573"
"Centro-Oeste";"Total";"2835,320";"3046,876"
"Rondônia";"Total";"265,866";"282,575"
"Acre";"Total";"106,628";"126,016"
"Amazonas";"Total";"604,422";"622,348"
"Roraima";"Total";"70,898";"67,657"
"Pará";"Total";"1215,446";"1218,941"
"Amapá";"Total";"112,400";"121,218"
"Tocantins";"Total";"245,755";"238,430"
"Maranhão";"Total";"758,888";"1100,213"
"Piauí";"Total";"425,572";"546,164"
"Ceará";"Total";"1541,175";"1757,758"
"Rio Grande do Norte";"Total";"563,684";"705,160"
"Paraíba";"Total";"566,026";"761,361"
"Pernambuco";"Total";"1479,919";"1907,669"
"Alagoas";"Total";"485,755";"636,067"
"Sergipe";"Total";"353,845";"448,854"
"Bahia";"Total";"2175,346";"2559,786"
"Minas Gerais";"Total";"3367,766";"4122,206"
"Espírito Santo";"Total";"605,169";"715,072"
"Rio de Janeiro";"Total";"3365,778";"4014,719"
"São Paulo";"Total";"8559,810";"10307,775"
"Paraná";"Total";"2025,818";"2197,843"
"Santa Catarina";"Total";"1339,929";"1423,467"
"Rio Grande do Sul";"Total";"2392,004";"2558,730"
"Mato Grosso do Sul";"Total";"462,140";"529,379"
"Mato Grosso";"Total";"631,477";"636,771"
"Goiás";"Total";"1163,024";"1244,790"
"Distrito Federal";"Total";"482,787";"550,778"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8476 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e situação do domicílio"
"Variável - Pessoas de 18 anos ou mais de idade com excesso de peso, considerando um intervalo de confiança de 95% - limite superior (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2013"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Homens";"Mulheres"
"Brasil";"Total";"38813,274";"44695,221"
"Norte";"Total";"2986,620";"2984,905"
"Nordeste";"Total";"9526,938";"11503,379"
"Sudeste";"Total";"17523,220";"20695,495"
"Sul";"Total";"6384,322";"6917,972"
"Centro-Oeste";"Total";"3058,233";"3236,566"
"Rondônia";"Total";"316,456";"323,471"
"Acre";"Total";"127,376";"145,440"
"Amazonas";"Total";"679,824";"698,662"
"Roraima";"Total";"81,710";"78,075"
"Pará";"Total";"1460,556";"1406,943"
"Amapá";"Total";"131,451";"140,867"
"Tocantins";"Total";"287,965";"284,973"
"Maranhão";"Total";"979,476";"1269,973"
"Piauí";"Total";"525,248";"626,310"
"Ceará";"Total";"1758,595";"1959,525"
"Rio Grande do Norte";"Total";"660,591";"806,516"
"Paraíba";"Total";"712,404";"867,729"
"Pernambuco";"Total";"1718,266";"2111,614"
"Alagoas";"Total";"576,894";"721,761"
"Sergipe";"Total";"416,386";"500,251"
"Bahia";"Total";"2678,446";"3075,655"
"Minas Gerais";"Total";"4084,914";"4688,144"
"Espírito Santo";"Total";"701,459";"822,816"
"Rio de Janeiro";"Total";"3712,141";"4352,295"
"São Paulo";"Total";"9450,621";"11229,663"
"Paraná";"Total";"2303,367";"2547,653"
"Santa Catarina";"Total";"1588,794";"1656,726"
"Rio Grande do Sul";"Total";"2659,756";"2906,126"
"Mato Grosso do Sul";"Total";"527,255";"591,035"
"Mato Grosso";"Total";"742,379";"721,529"
"Goiás";"Total";"1330,672";"1384,646"
"Distrito Federal";"Total";"553,819";"624,515"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8476 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e situação do domicílio"
"Variável - Coeficiente de variação - Pessoas de 18 anos ou mais de idade com excesso de peso (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2013"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Homens";"Mulheres"
"Brasil";"Total";"1,0";"0,8"
"Norte";"Total";"2,4";"1,9"
"Nordeste";"Total";"1,9";"1,5"
"Sudeste";"Total";"1,8";"1,4"
"Sul";"Total";"1,9";"2,1"
"Centro-Oeste";"Total";"1,9";"1,5"
"Rondônia";"Total";"4,4";"3,4"
"Acre";"Total";"4,5";"3,6"
"Amazonas";"Total";"3,0";"2,9"
"Roraima";"Total";"3,6";"3,6"
"Pará";"Total";"4,7";"3,7"
"Amapá";"Total";"4,0";"3,8"
"Tocantins";"Total";"4,0";"4,5"
"Maranhão";"Total";"6,5";"3,7"
"Piauí";"Total";"5,3";"3,5"
"Ceará";"Total";"3,4";"2,8"
"Rio Grande do Norte";"Total";"4,0";"3,4"
"Paraíba";"Total";"5,8";"3,3"
"Pernambuco";"Total";"3,8";"2,6"
"Alagoas";"Total";"4,4";"3,2"
"Sergipe";"Total";"4,1";"2,8"
"Bahia";"Total";"5,3";"4,7"
"Minas Gerais";"Total";"4,9";"3,3"
"Espírito Santo";"Total";"3,8";"3,6"
"Rio de Janeiro";"Total";"2,5";"2,1"
"São Paulo";"Total";"2,5";"2,2"
"Paraná";"Total";"3,3";"3,8"
"Santa Catarina";"Total";"4,3";"3,9"
"Rio Grande do Sul";"Total";"2,7";"3,2"
"Mato Grosso do Sul";"Total";"3,4";"2,8"
"Mato Grosso";"Total";"4,1";"3,2"
"Goiás";"Total";"3,4";"2,7"
"Distrito Federal";"Total";"3,5";"3,2"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8476 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade com excesso de peso (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2013"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Homens";"Mulheres"
"Brasil";"Total";"55,5";"58,2"
"Norte";"Total";"53,9";"53,5"
"Nordeste";"Total";"50,8";"55,8"
"Sudeste";"Total";"56,7";"59,9"
"Sul";"Total";"60,4";"60,3"
"Centro-Oeste";"Total";"57,3";"57,0"
"Rondônia";"Total";"52,0";"53,6"
"Acre";"Total";"49,4";"54,2"
"Amazonas";"Total";"58,5";"60,0"
"Roraima";"Total";"55,9";"54,4"
"Pará";"Total";"52,1";"50,3"
"Amapá";"Total";"55,6";"56,7"
"Tocantins";"Total";"56,3";"53,1"
"Maranhão";"Total";"41,2";"53,0"
"Piauí";"Total";"44,3";"50,9"
"Ceará";"Total";"55,9";"57,9"
"Rio Grande do Norte";"Total";"55,2";"60,9"
"Paraíba";"Total";"49,6";"57,0"
"Pernambuco";"Total";"53,2";"59,2"
"Alagoas";"Total";"51,9";"58,1"
"Sergipe";"Total";"53,0";"61,1"
"Bahia";"Total";"50,7";"51,8"
"Minas Gerais";"Total";"51,9";"55,9"
"Espírito Santo";"Total";"50,3";"54,6"
"Rio de Janeiro";"Total";"60,5";"60,1"
"São Paulo";"Total";"58,0";"62,2"
"Paraná";"Total";"57,3";"57,8"
