"Tabela 9537 - Pessoas de 10 anos ou mais de idade, por religião, segundo o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Ano x Religião x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"2022"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Católica Apostólica Romana";;"Evangélicas";;"Espírita";;"Umbanda e Candomblé";;"Tradições indígenas";;"Outras religiosidades";;"Sem religião";;"Não sabe";;"Sem declaração"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres"
"Brasil";"15 a 19 anos";"3874733";"3627422";"2032975";"2116263";"73898";"82602";"65900";"88924";"7351";"7128";"289436";"281268";"952508";"842012";"4165";"2359";"11987";"9530"
"Brasil";"20 a 24 anos";"4033613";"3878502";"2012938";"2240821";"77654";"103118";"90377";"115451";"6522";"6307";"317166";"325110";"1202384";"1007774";"9252";"3626";"13425";"10510"
"Brasil";"25 a 29 anos";"3937676";"3968734";"1984757";"2327466";"83946";"119900";"98538";"115798";"5300";"5249";"326628";"352895";"1159736";"927690";"10501";"3610";"13162";"8988"
"Brasil";"30 a 39 anos";"8337552";"8554181";"3983307";"4888607";"217492";"322703";"175399";"224420";"9216";"8809";"651031";"728509";"1924524";"1491479";"17547";"6286";"21228";"15676"
"Brasil";"40 a 49 anos";"8251902";"8411430";"3635035";"4604798";"248131";"398458";"144833";"196441";"6442";"6093";"571907";"677508";"1424067";"1052835";"10834";"4988";"16330";"12995"
"Brasil";"50 a 59 anos";"7149165";"7463217";"2630665";"3617676";"218478";"370103";"93169";"128980";"3931";"3593";"408752";"527962";"915021";"615853";"5008";"3018";"11765";"9512"
"Brasil";"60 a 69 anos";"5546465";"6059066";"1605282";"2485979";"177569";"297162";"53123";"74952";"2271";"2159";"257144";"371262";"561442";"354369";"2601";"1994";"7490";"7031"
"Brasil";"70 a 79 anos";"3042725";"3661079";"776684";"1277064";"82086";"143614";"20238";"29757";"1142";"1104";"122826";"190277";"245499";"153567";"1425";"1132";"3547";"3828"
"Brasil";"80 anos ou mais";"1284135";"2031650";"308248";"564614";"30979";"62487";"5622";"12769";"714";"832";"48796";"92858";"84617";"69596";"673";"1325";"1424";"2287"
"Norte";"15 a 19 anos";"374611";"349291";"292184";"302313";"1860";"1907";"1880";"2699";"2829";"2700";"25694";"26220";"83556";"72928";"642";"293";"1348";"1281"
"Norte";"20 a 24 anos";"365317";"348463";"262734";"288112";"2035";"2481";"2716";"2550";"2210";"2086";"26770";"28052";"100201";"83552";"1232";"559";"1692";"1319"
"Norte";"25 a 29 anos";"337767";"331404";"242302";"283960";"2215";"2281";"3039";"3024";"1531";"1550";"25987";"28393";"90873";"70865";"1370";"225";"1525";"934"
"Norte";"30 a 39 anos";"668370";"659812";"457831";"551994";"4610";"6457";"5148";"4619";"2689";"2174";"47521";"51749";"141431";"103556";"1619";"581";"1959";"1413"
"Norte";"40 a 49 anos";"616307";"583544";"387490";"469298";"5245";"7436";"3649";"3980";"1756";"1634";"38160";"42661";"99978";"64235";"818";"298";"1526";"1255"
"Norte";"50 a 59 anos";"464448";"430701";"257563";"320128";"4513";"6221";"2191";"2243";"1028";"925";"24188";"27655";"56003";"28976";"481";"193";"1005";"637"
"Norte";"60 a 69 anos";"322434";"301808";"151928";"198678";"3203";"4444";"1252";"1173";"584";"538";"13064";"15662";"30912";"13650";"162";"58";"539";"412"
"Norte";"70 a 79 anos";"159738";"159003";"71688";"94498";"1458";"1824";"375";"407";"307";"323";"5895";"6936";"12307";"5061";"105";"45";"166";"179"
"Norte";"80 anos ou mais";"64429";"81733";"29647";"39621";"445";"438";"105";"133";"216";"222";"2280";"3282";"4504";"2654";"42";"7";"98";"118"
"Nordeste";"15 a 19 anos";"1330835";"1248483";"462520";"500254";"8400";"9718";"10362";"13339";"1821";"1808";"66925";"67001";"274165";"243908";"986";"638";"3770";"3079"
"Nordeste";"20 a 24 anos";"1304262";"1269714";"435417";"520705";"8623";"11619";"14841";"16335";"1731";"1682";"71235";"75726";"313444";"269019";"1396";"946";"3664";"3261"
"Nordeste";"25 a 29 anos";"1211030";"1255892";"418612";"536139";"9457";"14255";"15663";"16497";"1476";"1382";"72411";"78902";"278920";"230041";"1447";"1000";"3443";"2515"
