"Tabela 96 - Mulheres de 10 anos ou mais de idade, total e que tiveram filhos, e os filhos tidos pelas mulheres de 10 anos ou mais de idade, os nascidos vivos, os nascidos vivos no período de referência de 12 meses, os nascidos mortos e os que estavam vivos na data de referência, segundo a situação do domicílio, a cor ou raça, o estado civil, o nível de instrução e os grupos de idade das mulheres"
"Variável - Mulheres de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"Ano x Situação do domicílio x Cor ou raça x Estado civil"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"2010"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"Total";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Urbana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Rural"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"Branca";;;;;"Preta";;;;;"Amarela";;;;;"Parda";;;;;"Indígena";;;;;"Sem declaração";;;;;"Branca";;;;;"Preta";;;;;"Amarela";;;;;"Parda";;;;;"Indígena";;;;;"Sem declaração";;;;;"Branca";;;;;"Preta";;;;;"Amarela";;;;;"Parda";;;;;"Indígena";;;;;"Sem declaração"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira"
"Brasil";"Sem instrução e fundamental incompleto";"15 a 19 anos";"36942";"1208";"828";"838";"805204";"7057";"223";"198";"247";"220852";"1418";"19";"58";"54";"25725";"56621";"1813";"1205";"1394";"1406677";"2131";"42";"67";"9";"23656";"-";"4";"-";"-";"1149";"26373";"979";"670";"671";"650647";"5254";"193";"146";"186";"177721";"970";"-";"32";"51";"20203";"38006";"1397";"997";"1019";"1029520";"369";"5";"11";"-";"5631";"-";"4";"-";"-";"1076";"10569";"229";"159";"166";"154558";"1804";"30";"52";"61";"43131";"448";"19";"26";"3";"5522";"18615";"416";"208";"374";"377158";"1762";"37";"57";"9";"18024";"-";"-";"-";"-";"73"
"Brasil";"Sem instrução e fundamental incompleto";"20 a 24 anos";"113969";"4356";"3333";"1686";"458104";"22579";"895";"617";"509";"145029";"3973";"125";"87";"89";"17433";"164530";"5418";"4294";"2912";"860081";"3286";"87";"119";"104";"15462";"79";"15";"-";"41";"1330";"79377";"3882";"2838";"1313";"363010";"16271";"768";"502";"436";"113895";"2913";"98";"57";"72";"13222";"105965";"4378";"3404";"2200";"610293";"629";"48";"47";"39";"3823";"79";"15";"-";"41";"1060";"34592";"475";"495";"373";"95095";"6307";"127";"115";"73";"31134";"1060";"26";"30";"17";"4211";"58565";"1039";"890";"712";"249788";"2658";"39";"72";"65";"11639";"-";"-";"-";"-";"270"
"Brasil";"Sem instrução e fundamental incompleto";"25 a 29 anos";"228683";"8749";"10111";"4159";"456301";"42256";"1982";"1792";"1610";"152940";"7189";"299";"317";"240";"17380";"301434";"11373";"11501";"7727";"858351";"4656";"90";"73";"138";"13367";"259";"-";"19";"-";"1353";"159383";"7307";"8542";"3406";"359774";"30812";"1710";"1587";"1338";"120377";"5258";"274";"255";"189";"13158";"197441";"9335";"9769";"6098";"614976";"1066";"33";"18";"30";"3265";"200";"-";"19";"-";"1099";"69300";"1442";"1570";"754";"96526";"11444";"271";"206";"272";"32563";"1932";"25";"63";"51";"4222";"103993";"2038";"1732";"1628";"243375";"3589";"57";"55";"108";"10101";"59";"-";"-";"-";"254"
"Brasil";"Sem instrução e fundamental incompleto";"30 a 34 anos";"395376";"18171";"26005";"11796";"480572";"67471";"3928";"4529";"3398";"164652";"10578";"464";"776";"417";"16644";"479752";"20874";"26082";"18030";"864178";"5083";"104";"176";"214";"11887";"415";"33";"-";"-";"1140";"283728";"15783";"23053";"9618";"389545";"51221";"3398";"4036";"2861";"133290";"7690";"415";"653";"337";"12845";"329868";"17750";"22747";"13964";"647252";"1624";"59";"99";"36";"3736";"389";"33";"-";"-";"968";"111648";"2388";"2953";"2178";"91026";"16249";"529";"493";"537";"31363";"2888";"49";"123";"80";"3798";"149884";"3124";"3335";"4065";"216926";"3459";"45";"77";"178";"8152";"25";"-";"-";"-";"172"
"Brasil";"Sem instrução e fundamental incompleto";"35 a 39 anos";"547074";"29902";"42568";"23753";"431304";"85129";"4633";"7175";"6411";"145307";"12717";"738";"1052";"950";"14274";"597009";"28902";"41559";"34174";"741036";"5334";"177";"398";"346";"8890";"510";"33";"24";"11";"790";"404218";"26545";"38639";"19823";"357482";"65965";"3995";"6571";"5417";"119640";"9480";"695";"929";"838";"11391";"424478";"24978";"36836";"27640";"567543";"1890";"76";"282";"223";"3269";"443";"33";"24";"11";"703";"142856";"3357";"3929";"3929";"73822";"19164";"638";"604";"994";"25667";"3237";"43";"123";"112";"2883";"172531";"3924";"4723";"6534";"173493";"3444";"100";"116";"123";"5622";"67";"-";"-";"-";"87"
"Brasil";"Sem instrução e fundamental incompleto";"40 a 44 anos";"677491";"41930";"66913";"49930";"374738";"104020";"7272";"9887";"12514";"133373";"14133";"758";"1313";"1331";"10677";"687435";"39000";"58842";"64459";"614214";"5274";"297";"414";"459";"7151";"238";"97";"97";"65";"564";"513307";"37569";"61366";"42537";"315526";"80808";"6638";"9043";"10576";"110487";"10790";"641";"1209";"1149";"8579";"492839";"34245";"52901";"52292";"478551";"2265";"232";"284";"300";"3068";"219";"97";"76";"65";"493";"164184";"4360";"5546";"7394";"59212";"23211";"635";"844";"1938";"22886";"3343";"117";"104";"182";"2099";"194596";"4754";"5941";"12167";"135664";"3009";"65";"130";"158";"4082";"18";"-";"21";"-";"72"
"Brasil";"Sem instrução e fundamental incompleto";"45 a 49 anos";"745497";"47874";"79458";"84565";"291130";"113423";"8661";"12174";"21593";"111144";"14029";"844";"1423";"1628";"8676";"720193";"43456";"67392";"100895";"476909";"5132";"320";"427";"763";"5508";"221";"22";"37";"19";"405";"572717";"43348";"73540";"73326";"247275";"90388";"7817";"11266";"18518";"93214";"10703";"764";"1347";"1371";"7106";"523771";"38378";"60826";"83340";"375158";"2327";"267";"369";"468";"2164";"207";"22";"37";"19";"338";"172780";"4526";"5918";"11239";"43855";"23034";"844";"908";"3075";"17930";"3326";"79";"76";"256";"1571";"196422";"5078";"6566";"17554";"101750";"2804";"53";"59";"295";"3344";"13";"-";"-";"-";"67"
"Brasil";"Sem instrução e fundamental incompleto";"50 a 54 anos";"746576";"50547";"81105";"135035";"222446";"118948";"8790";"13350";"35838";"89050";"13611";"887";"1431";"2784";"5949";"689820";"41820";"65990";"148027";"354787";"4395";"331";"386";"1095";"4021";"231";"71";"70";"99";"378";"580870";"46221";"75810";"118575";"190153";"94831";"7668";"12409";"31435";"74323";"10173";"805";"1311";"2459";"4835";"506162";"36917";"60300";"124677";"278155";"2426";"266";"322";"701";"1763";"231";"71";"70";"99";"348";"165705";"4326";"5295";"16460";"32293";"24117";"1122";"941";"4403";"14728";"3438";"82";"120";"325";"1114";"183659";"4903";"5691";"23350";"76632";"1968";"65";"64";"394";"2259";"-";"-";"-";"-";"29"
"Brasil";"Sem instrução e fundamental incompleto";"55 a 59 anos";"712005";"45310";"73063";"194801";"174855";"105343";"7673";"11734";"45360";"69503";"13518";"816";"1099";"3838";"4176";"611504";"37385";"54315";"195235";"260511";"4263";"412";"339";"1792";"3414";"231";"25";"39";"78";"362";"558874";"41863";"68689";"172354";"147820";"83359";"6992";"10839";"39374";"57514";"10209";"747";"1030";"3361";"3423";"447442";"33204";"49991";"164870";"201536";"2496";"324";"217";"1274";"1565";"231";"21";"39";"78";"351";"153130";"3447";"4373";"22447";"27035";"21984";"681";"895";"5987";"11989";"3310";"69";"69";"477";"753";"164062";"4182";"4324";"30365";"58975";"1768";"88";"122";"518";"1849";"-";"3";"-";"-";"10"
"Brasil";"Sem instrução e fundamental incompleto";"60 a 64 anos";"620286";"38793";"59242";"267891";"138999";"84164";"5548";"8861";"57353";"55705";"13377";"505";"1173";"5550";"3932";"481441";"28929";"41286";"235746";"191567";"3547";"228";"365";"2228";"3261";"128";"23";"20";"140";"194";"493935";"36019";"55976";"238986";"118282";"67125";"4999";"8440";"50009";"46087";"10697";"437";"1115";"4886";"3245";"356489";"25755";"38196";"199881";"147404";"1977";"171";"328";"1512";"1335";"128";"23";"20";"137";"192";"126351";"2774";"3266";"28905";"20717";"17038";"549";"420";"7344";"9618";"2679";"68";"57";"664";"687";"124953";"3174";"3091";"35865";"44163";"1570";"57";"37";"716";"1927";"-";"-";"-";"3";"3"
