"Tabela 96 - Mulheres de 10 anos ou mais de idade, total e que tiveram filhos, e os filhos tidos pelas mulheres de 10 anos ou mais de idade, os nascidos vivos, os nascidos vivos no período de referência de 12 meses, os nascidos mortos e os que estavam vivos na data de referência, segundo a situação do domicílio, a cor ou raça, o estado civil, o nível de instrução e os grupos de idade das mulheres"
"Variável - Mulheres de 10 anos ou mais de idade que tiveram filhos (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"Ano x Situação do domicílio x Cor ou raça x Estado civil"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"2010"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"Total";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Urbana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Rural"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"Branca";;;;;"Preta";;;;;"Amarela";;;;;"Parda";;;;;"Indígena";;;;;"Sem declaração";;;;;"Branca";;;;;"Preta";;;;;"Amarela";;;;;"Parda";;;;;"Indígena";;;;;"Sem declaração";;;;;"Branca";;;;;"Preta";;;;;"Amarela";;;;;"Parda";;;;;"Indígena";;;;;"Sem declaração"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira"
"Brasil";"Sem instrução e fundamental incompleto";"15 a 19 anos";"18774";"642";"358";"371";"126964";"3847";"138";"145";"143";"43527";"859";"12";"23";"41";"5550";"30420";"1022";"548";"727";"283621";"1377";"31";"24";"9";"6882";"-";"-";"-";"-";"8";"13380";"509";"274";"309";"100862";"2699";"125";"123";"113";"34093";"629";"-";"-";"41";"4272";"20026";"808";"410";"525";"205096";"210";"5";"-";"-";"1267";"-";"-";"-";"-";"8";"5394";"133";"84";"62";"26103";"1148";"13";"22";"30";"9435";"230";"12";"23";"-";"1278";"10394";"215";"138";"202";"78525";"1167";"26";"24";"9";"5615";"-";"-";"-";"-";"-"
"Brasil";"Sem instrução e fundamental incompleto";"20 a 24 anos";"87735";"3397";"2587";"1253";"265067";"18432";"756";"482";"390";"96749";"3090";"94";"76";"53";"12183";"134679";"4603";"3401";"2418";"573906";"2870";"71";"110";"87";"10466";"-";"-";"-";"-";"-";"60580";"2992";"2170";"953";"206098";"13124";"691";"379";"339";"75595";"2281";"73";"49";"46";"9188";"85985";"3708";"2619";"1833";"406741";"538";"48";"47";"25";"2575";"-";"-";"-";"-";"-";"27156";"405";"417";"300";"58969";"5308";"64";"103";"51";"21154";"809";"21";"27";"6";"2994";"48694";"895";"782";"585";"167165";"2332";"24";"63";"62";"7891";"-";"-";"-";"-";"-"
"Brasil";"Sem instrução e fundamental incompleto";"25 a 29 anos";"201131";"7764";"9091";"3672";"337261";"37756";"1745";"1656";"1338";"122080";"6407";"213";"240";"240";"13918";"274307";"10189";"10396";"7081";"696459";"4366";"74";"69";"127";"11074";"-";"-";"-";"-";"7";"138669";"6491";"7693";"2979";"263321";"27389";"1490";"1467";"1094";"95461";"4597";"190";"180";"189";"10475";"177839";"8344";"8786";"5567";"497773";"929";"33";"18";"30";"2708";"-";"-";"-";"-";"7";"62462";"1273";"1398";"693";"73940";"10367";"255";"189";"243";"26619";"1810";"22";"60";"51";"3443";"96468";"1845";"1610";"1514";"198686";"3437";"41";"52";"97";"8366";"-";"-";"-";"-";"-"
"Brasil";"Sem instrução e fundamental incompleto";"30 a 34 anos";"368705";"16858";"24094";"10853";"388197";"62731";"3600";"4196";"3196";"138382";"9896";"454";"666";"366";"13856";"453459";"19306";"24042";"17064";"741713";"4832";"100";"176";"204";"10477";"-";"-";"-";"-";"-";"263342";"14570";"21332";"8838";"314457";"47480";"3086";"3784";"2691";"111563";"7122";"405";"556";"292";"10719";"310648";"16485";"20992";"13182";"555188";"1580";"59";"99";"36";"3344";"-";"-";"-";"-";"-";"105363";"2288";"2762";"2014";"73740";"15251";"514";"412";"505";"26819";"2773";"49";"110";"75";"3137";"142810";"2821";"3049";"3881";"186524";"3252";"41";"77";"168";"7133";"-";"-";"-";"-";"-"
"Brasil";"Sem instrução e fundamental incompleto";"35 a 39 anos";"518130";"28354";"40424";"22383";"355735";"79931";"4348";"6886";"6150";"124645";"11955";"662";"1000";"910";"12578";"569248";"27292";"39391";"32300";"642947";"5138";"150";"370";"346";"7835";"-";"-";"-";"-";"-";"382034";"25131";"36643";"18678";"296091";"61852";"3755";"6308";"5195";"102383";"8925";"619";"881";"799";"10063";"404112";"23577";"35009";"26111";"492859";"1808";"76";"260";"223";"2957";"-";"-";"-";"-";"-";"136096";"3223";"3782";"3705";"59644";"18079";"593";"578";"955";"22262";"3030";"43";"118";"112";"2515";"165136";"3715";"4382";"6189";"150088";"3330";"73";"110";"123";"4878";"-";"-";"-";"-";"-"
"Brasil";"Sem instrução e fundamental incompleto";"40 a 44 anos";"646018";"39644";"63427";"47490";"296962";"97844";"6744";"9273";"11615";"112562";"13399";"735";"1272";"1278";"9061";"656321";"36796";"56082";"61168";"523504";"4814";"272";"405";"439";"6314";"-";"-";"-";"-";"11";"488408";"35546";"58140";"40595";"251722";"75831";"6168";"8479";"9788";"92858";"10157";"622";"1181";"1099";"7267";"469653";"32255";"50499";"49697";"407816";"1995";"223";"276";"288";"2722";"-";"-";"-";"-";"11";"157610";"4098";"5287";"6895";"45240";"22013";"576";"794";"1828";"19704";"3242";"113";"91";"180";"1794";"186668";"4541";"5583";"11471";"115688";"2819";"49";"129";"150";"3592";"-";"-";"-";"-";"-"
"Brasil";"Sem instrução e fundamental incompleto";"45 a 49 anos";"711415";"45594";"75429";"80231";"219138";"106369";"8177";"11436";"20544";"90941";"13309";"798";"1370";"1552";"7011";"689361";"41123";"64748";"96269";"397115";"4860";"309";"417";"722";"4809";"-";"-";"-";"-";"-";"546234";"41251";"69800";"69528";"187588";"84460";"7382";"10610";"17601";"75765";"10120";"723";"1295";"1307";"5750";"500872";"36264";"58491";"79457";"311554";"2229";"256";"359";"437";"1906";"-";"-";"-";"-";"-";"165181";"4343";"5630";"10704";"31551";"21909";"795";"826";"2943";"15176";"3189";"75";"76";"245";"1261";"188489";"4859";"6257";"16812";"85562";"2631";"53";"58";"285";"2902";"-";"-";"-";"-";"-"
"Brasil";"Sem instrução e fundamental incompleto";"50 a 54 anos";"711636";"48222";"76787";"128377";"155561";"112226";"8336";"12689";"33734";"70955";"12961";"847";"1392";"2676";"4615";"657458";"39636";"62710";"141101";"288453";"4123";"296";"386";"1028";"3529";"35";"-";"-";"-";"-";"552915";"44134";"71847";"112623";"134243";"89355";"7304";"11776";"29586";"58832";"9705";"769";"1273";"2352";"3688";"482298";"35098";"57346";"118774";"225370";"2311";"245";"322";"659";"1549";"35";"-";"-";"-";"-";"158721";"4088";"4940";"15754";"21317";"22870";"1032";"913";"4149";"12123";"3255";"78";"120";"325";"926";"175160";"4539";"5364";"22327";"63083";"1812";"51";"64";"369";"1979";"-";"-";"-";"-";"-"
"Brasil";"Sem instrução e fundamental incompleto";"55 a 59 anos";"680371";"43396";"69512";"184851";"113691";"99261";"7150";"11252";"42901";"53562";"12738";"756";"1040";"3595";"3012";"582592";"35416";"52018";"185041";"204277";"3970";"394";"306";"1684";"2987";"-";"-";"-";"-";"-";"533691";"40153";"65483";"163742";"97201";"78367";"6536";"10397";"37306";"43999";"9611";"690";"972";"3128";"2454";"426074";"31522";"47881";"156262";"157800";"2346";"306";"207";"1237";"1404";"-";"-";"-";"-";"-";"146680";"3243";"4029";"21110";"16490";"20894";"614";"855";"5595";"9562";"3127";"67";"69";"466";"558";"156519";"3895";"4137";"28779";"46477";"1624";"88";"99";"448";"1583";"-";"-";"-";"-";"-"
"Brasil";"Sem instrução e fundamental incompleto";"60 a 64 anos";"591066";"36868";"56335";"254016";"82584";"78315";"5234";"8241";"53749";"40779";"12586";"442";"1072";"5198";"2310";"457169";"27588";"39142";"223938";"144062";"3353";"220";"331";"2119";"2584";"-";"-";"-";"-";"-";"470195";"34270";"53297";"226507";"70714";"62298";"4701";"7884";"46875";"33386";"10018";"388";"1019";"4584";"1859";"338359";"24561";"36287";"190020";"109751";"1913";"171";"297";"1444";"1068";"-";"-";"-";"-";"-";"120871";"2598";"3039";"27509";"11869";"16016";"533";"356";"6874";"7394";"2569";"54";"53";"615";"451";"118810";"3027";"2856";"33918";"34311";"1440";"49";"35";"676";"1516";"-";"-";"-";"-";"-"
"Brasil";"Sem instrução e fundamental incompleto";"65 a 69 anos";"455035";"24620";"38733";"305089";"57645";"54581";"3800";"5717";"57365";"27575";"12183";"514";"783";"6425";"1794";"324440";"18117";"25254";"239185";"104681";"2597";"294";"192";"2074";"2082";"-";"-";"-";"-";"-";"364537";"22746";"36874";"272126";"48903";"43415";"3445";"5327";"49832";"22424";"9877";"466";"722";"5644";"1415";"239045";"15966";"23561";"203022";"79081";"1454";"257";"181";"1333";"673";"-";"-";"-";"-";"-";"90498";"1873";"1859";"32963";"8742";"11165";"355";"390";"7533";"5152";"2306";"48";"61";"781";"379";"85394";"2151";"1693";"36163";"25600";"1143";"37";"11";"741";"1409";"-";"-";"-";"-";"-"
"Brasil";"Sem instrução e fundamental incompleto";"70 anos ou mais";"652653";"31835";"42055";"1315037";"95844";"67364";"4710";"5908";"175204";"46037";"18223";"458";"734";"30536";"2838";"389878";"21775";"24500";"758029";"154833";"3097";"250";"273";"6573";"3408";"-";"-";"-";"-";"-";"537334";"29675";"40103";"1174659";"79493";"53437";"4264";"5552";"153152";"37231";"15297";"429";"666";"27507";"2238";"289811";"19042";"22558";"635246";"114630";"1676";"200";"238";"4511";"1240";"-";"-";"-";"-";"-";"115320";"2160";"1952";"140379";"16350";"13928";"446";"356";"22052";"8806";"2926";"29";"68";"3029";"600";"100068";"2733";"1942";"122783";"40203";"1421";"50";"35";"2062";"2168";"-";"-";"-";"-";"-"
"Brasil";"Fundamental completo e médio incompleto";"15 a 19 anos";"22215";"676";"398";"113";"100684";"3082";"92";"76";"26";"23941";"659";"20";"5";"12";"4029";"26696";"696";"443";"274";"164793";"336";"-";"9";"-";"1764";"-";"-";"-";"-";"-";"17872";"566";"352";"82";"86498";"2463";"92";"65";"22";"20727";"532";"17";"5";"12";"3376";"20823";"590";"331";"237";"133184";"101";"-";"-";"-";"692";"-";"-";"-";"-";"-";"4342";"110";"45";"31";"14186";"619";"-";"11";"4";"3214";"127";"3";"-";"-";"653";"5873";"106";"112";"37";"31609";"235";"-";"9";"-";"1072";"-";"-";"-";"-";"-"
